time, out0, cell
588.0, 14719.0, 1.0
589.0, 14739.0, 1.0
590.0, 14745.0, 1.0
591.0, 14755.0, 1.0
592.0, 14747.0, 1.0
593.0, 14772.0, 1.0
594.0, 14759.0, 1.0
595.0, 14761.0, 1.0
596.0, 14762.0, 1.0
597.0, 14752.0, 1.0
598.0, 14753.0, 1.0
599.0, 14763.0, 1.0
600.0, 14774.0, 1.0
601.0, 14780.0, 1.0
602.0, 14783.0, 1.0
603.0, 14771.0, 1.0
604.0, 14756.0, 1.0
605.0, 14765.0, 1.0
606.0, 14762.0, 1.0
607.0, 14756.0, 1.0
608.0, 14750.0, 1.0
609.0, 14752.0, 1.0
610.0, 14749.0, 1.0
611.0, 14754.0, 1.0
612.0, 14747.0, 1.0
613.0, 14750.0, 1.0
614.0, 14787.0, 1.0
615.0, 14807.0, 1.0
616.0, 14801.0, 1.0
617.0, 14795.0, 1.0
618.0, 14804.0, 1.0
619.0, 14814.0, 1.0
620.0, 14788.0, 1.0
621.0, 14781.0, 1.0
622.0, 14781.0, 1.0
623.0, 14789.0, 1.0
624.0, 14786.0, 1.0
625.0, 14781.0, 1.0
626.0, 14768.0, 1.0
627.0, 14768.0, 1.0
628.0, 14775.0, 1.0
629.0, 14806.0, 1.0
630.0, 14816.0, 1.0
631.0, 14805.0, 1.0
632.0, 14815.0, 1.0
633.0, 14834.0, 1.0
634.0, 14830.0, 1.0
635.0, 14840.0, 1.0
636.0, 14826.0, 1.0
637.0, 14831.0, 1.0
638.0, 14840.0, 1.0
639.0, 14835.0, 1.0
640.0, 14842.0, 1.0
641.0, 14847.0, 1.0
642.0, 14863.0, 1.0
643.0, 14844.0, 1.0
644.0, 14845.0, 1.0
645.0, 14834.0, 1.0
646.0, 14825.0, 1.0
647.0, 14825.0, 1.0
648.0, 14829.0, 1.0
649.0, 14829.0, 1.0
650.0, 14848.0, 1.0
651.0, 14857.0, 1.0
652.0, 14859.0, 1.0
653.0, 14865.0, 1.0
654.0, 14872.0, 1.0
655.0, 14876.0, 1.0
656.0, 14863.0, 1.0
657.0, 14868.0, 1.0
658.0, 14898.0, 1.0
659.0, 14914.0, 1.0
660.0, 14914.0, 1.0
661.0, 14915.0, 1.0
662.0, 14917.0, 1.0
